1993, B7,  Int. J. Mod. Phys., Keski-Vakkuri & Wen,  The Ground State Structure and Modular Transformations of Fractional  Quantum Hall States on a Torus
1994, B418,  Nucl.Phys., Pasti & Tonin,  Twistor--like Formulation of the Supermembrane in D=11 $^*$
1993, B311,  Phys. Lett., Houart,  Explicit Resolution of an Integrable c(4,3) Open String Theory
1993, B410,  Nucl.Phys., Gurarie,  Logarithmic Operators in Conformal Field Theory
1993, A26,  J.Phys., Grimm & Pearce,  Multi-Colour Braid-Monoid Algebras
1994, A9,  Mod. Phys. Lett., Parkhomenko,  Physical States in Topological Phase of N=2 Supersymmetric WZNW Models
1993, B309,  Phys.Lett., Belov & Chaltikian,  Lattice analogues of W-algebras and Classical Integrable Equations
1993, A8,  Mod. Phys. Lett., Figueroa-O'Farrill & Stanciu,  New Supersymmetrizations of the Generalized KdV Hierarchies
1994, A9,  Mod. Phys. Lett., Peleg,  4D and 2D Evaporating Dilatonic Black Holes
1993, B309,  Phys.Lett., Townsend,  Effective description of axion defects
1993, D48,  Phys.Rev., Klimcik,  Quantum Fluctuations and Curvature Singularities in Jackiw-Teitelboim  Gravity
1993, B309,  Phys.Lett., Hansson & Zahed,  Two-Dimensional QCD at Infinite N and Finite T
1993, D48,  Phys.Rev., Brandenberger & Mukhanov & Sornborger,  A Cosmological Theory without Singularities
1993, D48,  Phys.Rev., Dray & Manogue & Tucker,  The Scalar Field Equation in the Presence of Signature Change
1994, C427,  in Cosmology and Particle Physics, V.de Sabbata and Tso-Hsiu Eds,
  Kluwer Ac. Publ., Dordrecht 1994), Vol., Lousto & Sanchez,  The Quantization of the Spacetime Geometry Generated by Planckian Energy  Particles
1993, D48,  Phys.Rev., Cea & Cosmai,  Unstable Modes in Three-Dimensional SU(2) Gauge Theory
1993, B309,  Phys.Lett., Polikarpov & Wiese & Zubkov,  String Representation of the Abelian Higgs Theory and Aharonov-Bohm  Effect on the Lattice
1993, B315,  Phys. Lett., Shen,  The Coleman-Weinberg Mechanism and First Order Phase Transitions
1993, B410,  Nucl.Phys., Landshoff & Rebhan,  Thermalisation of Longitudinal Gluons
1993, B406,  Nucl. Phys., Russo,  Discrete Strings and Deterministic Cellular Strings
1993, B308,  Phys. Lett., Sitarz,  Higgs Mass and Noncommutative Geometry
1993, B409,  Nucl. Phys., Freed,  Contact Terms and Duality Symmetry in The Critical Dissipative  Hofstadter Model
1994, A9,  Int. J. Mod. Phys., Sorella & de Oliveira,  Algebraic Characterization of the Lorentz and Diffeomorphism Anomalies
1993, D48,  Phys.Rev., Mohammedi,  Naked Singularities in Four-Dimensional String Backgrounds
1994, B416,  Nucl.Phys., Caselle & D'Adda & Magnea & Panzeri,  Two dimensional QCD is a one dimensional Kazakov-Migdal model
1993, A26,  J.Phys., Bordag & Voropaev,  Charged Particle with Magnetic Moment in the Aharonov-Bohm Potential
1994, A9,  Int. J. Mod. Phys., Bajnok,  $C_2$ Toda theory in the reduced WZNW framework
1993, D48,  Phys.Rev., Sevrin & Thielemans & Troost,  The Relation between Linear and Non-Linear $N=3,4$ Supergravity Theories
1993, B312,  Phys. Lett., Li,  Matter-ghost mixing and the exact 2d black hole metric
1993, C60,  Z.Phys., Visinescu,  The Geodesic Motion on Generalized Taub-Nut Gravitational Instantons
1994, D50,  Phys.Rev., Chamseddine & Fr/''ohlich,  SO(10) Unification in Non-Commutative Geometry
1995, A10,  Int. J. Mod. Phys., Alimohammadi & Ardalan & Arfaei,  Nilpotent Gauging of SL(2,R)$WZNW$ models, and Liouville Field
1994, A9,  Int. J. Mod. Phys., Witten,  On the Landau-Ginzburg Description of $N=2$ Minimal Models
1994, D49,  Phys.Rev., Giddings,  Constraints on Black Hole Remnants
1993, B405,  Nucl. Phys., Nakatsu & Sugawara,  Instanton and Spectral Flow in Topological Conformal Field Theories
1993, A8,  Int. J. Mod. Phys., Balachandran & Bimonte & Gupta & Marmo & Salomonson & Simoni & Stern,  Current Algebra and Conformal Field Theory on a Figure Eight
1994, A9,  Mod.Phys.Lett., Klemm & Theisen,  Mirror Maps and Instanton Sums for Complete Intersections in Weighted  Projective Space
1993, L187,  Class.Quant.Grav., Martinec,  The Light Cone in String Theory
1994, A9,  Mod.Phys.Lett., Ahn,  Free Superfield Realization of N=2 Quantum Super W_{3} Algebra
1994, A9,  Int.J.Mod.Phys., Ishikawa & Kato,  c=1 String as a Topological Model
1994, A9,  Int.J.Mod.Phys., Gieres & Theisen,  Classical $N=1$ and $N=2$ super W-algebras from a zero-curvature  condition
1993, A8,  Mod.Phys.Lett., Volovich,  Affine Strings
1992, N2,  Theor.Math.Phys., Semenov-Tian-Shansky,  Poisson Lie Groups, Quantum Duality Principle, and the Quantum Double
1994, D49,  Phys.Rev., Mishima & Nakamichi,  Chronology Protection in Two-Dimensional Dilaton Gravity
1993, B407,  Nucl.Phys., Candelas & Derrick & Parkes,  Generalized Calabi-Yau Manifolds and the Mirror of a Rigid Manifold
1993, D48,  Phys.Rev., Galperin & Sokatchev,  A Twistor Formulation of the Non-Heterotic Superstring with Manifest  Worldsheet Supersymmetry
1994, B414,  Nucl. Phys., Gorsky & Nekrasov,  Hamiltonian systems of Calogero type and two dimensional Yang-Mills  theory
1994, B416,  Nucl.Phys., Raiten,  Tachyon Condensates and String Theoretic Inflation
1994, B414,  Nucl.Phys., Ranganathan & Sonoda & Zwiebach,  Connections on the State-Space over Conformal Field Theories
1994, B412,  Nucl. Phys., Mayr & Stieberger,  Dilaton, Antisymmetric Tensor and Gauge Fields in String Effective  Theories at the One--loop Level
1993, B311,  Phys.Lett., Barnich & Henneaux,  Consistent couplings between fields with a gauge freedom and  deformations of the master equation
1993, B408,  Nucl.Phys., Corrigan & Dorey & Sasaki,  On a generalised bootstrap principle
1994, A9,  Int. J. Mod. Phys., Balachandran & Teotonio-Sobrinho,  Vertex Operators for the BF System and its Spin-Statistics Theorems
1994, D49,  Phys.Rev., Bialynicki-Birula,  Dirac and Weyl Equations on a Lattice as Quantum Cellular Automata
1993, D48,  Phys.Rev., Elizalde & Leseduarte & Odintsov,  Partition Functions for the Rigid String and Membrane at Any Temperature
1993, A8,  Mod. Phys. Lett., Dhar & Mandal & Wadia,  Wave Propagation in Stringy Black Hole
1993, A26,  J.Phys., Meljanac & Milekovic,  On the Clebsch-Gordan coefficients for the two-parameter quantum algebra  $SU(2)_{p,q}$
1993, A8,  Mod.Phys.Lett., Stoilov & Zaikov,  A U(1) Current Algebra Model Coupled to 2D-Gravity
1993, B308,  Phys. Lett., Hakobyan & Sedrakyan,  R-matrices of U_qOSP(1,2) for highest weight representations of  U_qOSP(1,2) for general q and q is an odd root of unity
1993, B319,  Phys.Lett., Isler & Paranjape,  Violations of the String Hypothesis in the Solutions of the Bethe Ansatz  Equations in the XXX-Heisenberg
1993, D48,  Phys.Rev., Balakrishna,  Anomaly matching for the QCD string
1993, B312,  Phys.Lett., Asorey & Carlip & Falceto,  Chern-Simons States and Topologically Massive Gauge Theories
1994, A49,  Phys.Rev., Efthimiou,  A Comment on the Propagator of the Radial Oscillator
1994, A27,  J.Phys., Han & Honecker,  Low-Temperature Expansions and Correlation Functions of the Z_3-Chiral  Potts Model
1994, B321,  Phys.Lett., D'Eath,  Physical states in $N = 1$ supergravity
1993, B410,  Nucl.Phys., de Vega & Giavarini,  Exact Solution of the general Non Intersecting String Model
1993, B311,  Phys. Lett., Ayala,  Renormalization Group Approach to Matrix Models in Two-Dimensional  Quantum Gravity
1994, A9,  Int.J.Mod.Phys., Elizalde & Naftulin & Odintsov,  The Renormalization Structure and Quantum Equivalence of 2D Dilaton  Gravities
1993, D48,  Phys.Rev., Kirsten & Cognola & Vanzo,  Effective Lagrangian for self-interacting scalar field theories in  curved spacetime
1994, B414,  Nucl.Phys., Behrndt,  A Monopole Solution in open String Theory
1993, B311,  Phys. Lett., Shirokura,  Factorization in 2D String Theory
1994, B321,  Phys.Lett., Kounnas,  Four Dimensional Gravitational Backgrounds Based on N=4 c=4  Superconformal Systems
1993, A8,  Mod.Phys.Lett., Emparan & R\. & Basagoiti & A,  Three-Loop Calculation of the Anyonic Full Cluster Expansion
1994, A9,  Int. J. Mod. Phys., Gannon & Ho-Kim,  The Low Level Modular Invariant Partition Functions of Rank-Two Algebras
1994, A27,  J.Phys., Frau & R-Monteiro & Sciuto,  $q$-Deformed Classical Lie Algebras and their Anyonic Realization
1993, A8,  Mod. Phys. Lett., Smolinski,  Non-commutative quantum dynamics
1993, A26,  J.Phys., Chaichian & Felipe & Montonen,  Statistics of Q-Oscillators, Quons and Relation to Fractional Satistics
1994, A9,  Int.J.Mod.Phys., Lu & Pope & Wang,  On Higher-spin Generalisations of String Theory
1993, A8,  Int. J. Mod. Phys., Lashkevich,  Coset Construction of Minimal Models
1993, D48,  Phys.Rev., Werner,  The Free Quon Gas Suffers Gibbs' Paradox
1993, A8,  Mod. Phys. Lett., Eguchi & Yamada & Yang,  Topological Field Theories and the Period Integrals
1994, A27,  J.Phys., Cabra,  Wess-Zumino-Witten model off criticality
1993, D48,  Phys.Rev., Schoutens & Verlinde & Verlinde,  Quantum Black Hole Evaporation
1993, A8,  Mod.Phys.Lett., Cohn & Periwal,  The Strength of String Nonperturbative Effects and Strong-Weak Coupling  Duality
1994, B415,  Nucl. Phys., Zaslow,  Dynkin Diagrams of ${CP}^1$ Orbifolds
1993, B304,  Phys.Lett., Buchbinder & Fradkin & Lyakhovich & Pershin,  Higher spins dynamics in the closed string theory
1993, B407,  Nucl.Phys., Nilsson & Sundell,  Gluing of Branched Surfaces by Sewing of Fermionic String Vertices
1993, C57,  Z. Phys., Portmann,  Cancellation of the Chiral Anomaly in a Model with Spontaneous Symmetry  Breaking
1993, D48,  Phys.Rev., Stern & Yakushin,  Deformed Wong Particles
1993, D48,  Phys.Rev., Hori,  A Bilocal Field Theory in Four Dimensions
1993, D48,  Phys.Rev., Piran & Strominger,  Numerical Analysis of Black Hole Evaporation
1993, B312,  Phys.Lett., Dorey,  A remark on the coupling-dependence in affine Toda field theories
1993, A8,  Mod. Phys. Lett., Sen,  Semiclassical analysis of two- and three-spin antiferromagnets and  anyons on a sphere
1994, B411,  Nucl.Phys., Schwarz & Sen,  Duality Symmetric Actions
1993, B409,  Nucl.Phys., Giveon & Rabinovici & Tseytlin,  Heterotic string solutions and coset conformal field theories
1993, B313,  Phys.Lett., Lu,  ADM masses for black strings and p-branes
1993, B314,  Phys.Lett., Castellani & R-Monteiro,  A note on quantum structure constants
1993, D48,  Phys.Rev., Nelson & Park,  N=2 Supersymmetry in Two-Dimensional Dilaton Gravity
1993, D48,  Phys.Rev., Rovelli,  The basis of the Ponzano-Regge-Turaev-Viro-Ooguri model is the loop  representation basis
1993, B7,  Mod. Phys. Lett., Li,  Intrinsic quasiparticle's spin and fractional quantum Hall effect on  Riemann surfaces
1993, D48,  Phys.Rev., Anderson & Halliwell,  An Information-Theoretic Measure of Uncertainty due to Quantum and  Thermal Fluctuations
1993, B408,  Nucl.Phys., Catterall & Kogut & Renken,  The XY Model on a Dynamical Random Lattice
1993, B406,  Nucl. Phys., Benson & Bucher,  Skyrmions and Semilocal Strings in Cosmology
1994, A9,  Int. J. Mod. Phys., Soto & Tzani,  Extra symmetries in the effective theory of heavy quarks
1993, D48,  Phys.Rev., Grosse-Knetter,  Hamiltonian Quantization of Effective Lagrangians with Massive Vector  Fields
1993, B407,  Nucl.Phys., Marcus & Oz,  The spectrum of the 2D Black Hole, or Does the 2D black hole have  tachyonic or W--hair?
1993, B317,  Phys.Lett., Bonora & Xiong,  Multi-field representations of KP hierarchies and multi-matrix models
1993, L93,  Class.Quant.Grav., Husain,  Two dimensional general covariance from three dimensions
1995, D51,  Phys.Rev., Goldhaber & Li & Parwani,  Scaling of Aharonov-Bohm couplings and the dynamical vacuum in gauge  theories
1993, B408,  Nucl.Phys., Blau & Thompson,  Derivation of the Verlinde Formula from Chern-Simons Theory and the G/G  model
1993, B306,  Phys. Lett., Basagoiti,  Pressure in Chern-Simons Field Theory to Three-Loop Order
1993, B308,  Phys. Lett., Gracey,  The Nambu-Jona-Lasinio Model at O(1/N^2)
1993, B314,  Phys.Lett., Bellon & Boukraa & Maillard & Viallet,  Towards Three-Dimensional Bethe Ansatz
1993, B409,  Nucl.Phys., Lu,  On the determination of the dilaton-antisymmetric tensor couplings in  supergravity theories
1993, D47,  Phys.Rev., Giavarini & Martin & Ruiz,  Physically meaningful and not so meaningful symmetries in Chern-Simons  theory
1994, A9,  Int. J. Mod. Phys., Kazama & Nicolai,  On the Exact Operator Formalism of Two-Dimensional Liouville Quantum  Gravity in Minkowski Spacetime
1994, B415,  Nucl.Phys., Antoniadis & Rizos & Tamvakis,  Singularity-free cosmological solutions of the superstring effective  action
1993, B315,  Phys.Lett., Alvarez & Labastida,  Breaking of Topological Symmetry
1993, D48,  Phys.Rev., Peet & Susskind & Thorlacius,  Tachyon Hair on Two-Dimensional Black Holes
1994, D50,  Phys.Rev., Bassetto & Griguolo & Zanca,  Non Perturbative Solutions and Scaling Properties of Vector,  Axial--Vector Electrodynamics in $1+1$ Dimensions
1993, A8,  Int.J.Mod.Phys., Toomassian,  The Free Field Representation of SU(3) Conformal Field Theory
1993, B316,  Phys. Lett., Sasakura,  Lattice Topological Field Theory and First Order Phase Transition
1993, A26,  J.Phys., Poliatzky,  Soliton Solutions of Relativistic Hartree's Equations
1993, B409,  Nucl.Phys., Francesco & Yankielowicz,  Ramond Sector Characters and N=2 Landau-Ginzburg Models
1993, A8,  Mod.Phys.Lett., Dayi,  A General Solution of the BV-Master Equation and BRST Field Theories
1993, B317,  Phys. Lett., Panda & Roy,  On the Twisted $N=2$ Superconformal Structure in $2d$ Gravity Coupled to  Matter
1993, B410,  Nucl.Phys., Wexler,  Matrix Models on Large Graphs
1994, B414,  Nucl.Phys., Hollowood,  The Analytic Structure of Trigonometric S Matrices
1993, B315,  Phys.Lett., Gervais & Schnittger,  The Braiding of Chiral Vertex Operators with Continuous Spins in 2D  Gravity
1993, B319,  Phys.Lett., Douglas & Kazakov,  Large $N$ Phase Transition in Continuum QCD$_2$
1993, A8,  Mod.Phys.Lett., Vladimirov,  A Closed Expression for the Universal R-Matrix in a Non-Standard Quantum  Double
1993, D48,  Phys.Rev., Gupta & Rajeev,  Renormalization in Quantum Mechanics
1995, A353,  Z.Phys., Levit,  Body Fixed Frame, Rigid Gauge Rotations and Large N Random Fields in QCD
1994, A9,  Mod. Phys. Lett., Alimohammadi,  Some Correlators of $SU(3)_3$ WZW Models on Higher-Genus Riemann  Surfaces
1994, A9,  Int.J.Mod.Phys., Popowicz,  The Super W_3 Conformal Algebra and the Boussinesq Hierarchy
1993, B312,  Phys. Lett., Ishibashi,  2D String Theory Coupled to Quantum Gravity
1994, B411,  Nucl.Phys., Gauntlett & Harvey & Robinson & Waldram,  Scattering of Macroscopic Heterotic Strings
1994, A9,  Mod.Phys.Lett., Vokos & Zachos,  Thermodynamic q-Distributions That Aren't
1994, B411,  Nucl.Phys., Gauntlett,  Low Energy Dynamics of N=2 Supersymmetric Monopoles
1993, B315,  Phys.Lett., Binetruy,  Dilaton, moduli and string/five-brane duality as seen from four  dimensions
1995, A10,  Int.J.Mod.Phys., Ivanov & Krivonos & Malik,  N=2 Super - $W_{3}$ Algebra and N=2 Super Boussinesq Equations
1994, A9,  Int.J.Mod.Phys., Halpern & Obers,  Solving the Ward Identities of Irrational Conformal Field Theory
1993, D48,  Phys.Rev., Siegel,  Superspace Duality in Low-Energy Superstrings
1993, A8,  Mod. Phys. Lett., Niemi & Palo,  On Quantum Integrability and the Lefschetz Number
1995, A10,  Int.J.Mod.Phys., Losev & Polyubin,  On Connection between Topological Landau-Ginzburg Gravity and Integrable  Systems
1994, A9,  Int.J.Mod.Phys., Chung & Fukuma & Shapere,  Structure of Topological Lattice Field Theories in Three Dimensions
1993, B311,  Phys. Lett., Fort & Vachaspati,  Do Global String Loops Collapse to Form Black Holes?
1993, D48,  Phys.Rev., Giddings & Polchinski & Strominger,  Four Dimensional Black Holes in String Theory
1993, A26,  J.Phys., Karimipour,  Representations of The Coordinate Ring of $GL_{q}(3)$
1993, A8,  Mod.Phys.Lett., Aoyama & Vandoren,  The Batalin-Vilkovisky Formalism on Fermionic Kaehler Manifolds
1993, B311,  Phys. Lett., Freund & Zabrodin,  The Spectral Problem for the q-Knizhnik-Zamolodchikov Equation
1994, B413,  Nucl. Phys., Dienes,  The Worldsheet Conformal Field Theory of the Fractional Superstring
1993, B317,  Phys.Lett., Belov & Chaltikian,  Lattice Analogue of W-infinity Algebra and Discrete KP-Hierarchy
1993, A8,  Mod.Phys.Lett., Naculich & Riggs & Schnitzer,  Two-dimensional Yang-Mills Theories Are String Theories
1994, B413,  Nucl.Phys., Hull,  New Realisations of Minimal Models and the Structure of W-Strings
1993, B314,  Phys. Lett., Asano & Tanimoto & Yoshino,  Supersymmetric Bianchi class A models
1993, B312,  Phys. Lett., Abel & Scheich,  Classification of (2,2) Compactification in Fermionic Strings
1993, B319,  Phys.Lett., Gaite & Brustein,  Batalin-Vilkoviski master equation and absence of anomalies in string  field theory
1993, D48,  Phys.Rev., Cadoni & Mignemi,  Dilatonic black holes in theories with moduli fields
1994, B411,  Nucl.Phys., Jevicki & Yoneya,  A Deformed Matrix Model and the Black Hole Background in Two-Dimensional  String Theory
1994, B415,  Nucl. Phys., LeClair,  Spectrum Generating Affine Lie Algebras in Massive Field Theory
1993, B316,  Phys.Lett., Trodden & Mukhanov & Brandenberger,  A Nonsingular Two Dimensional Black Hole
1993, B312,  Phys.Lett., Donets & Gal'tsov,  Charged Stringy Black Holes With Non-Abelian Hair
1994, A9,  Int.J.Mod.Phys., Melzer,  Fermionic Character Sums and the Corner Transfer Matrix
1995, A10,  Mod.Phys.Lett., Mavromatos & Nanopoulos,  Valleys in String Foam Suppress Quantum Coherence
1993, A26,  J.Phys., Turban & Berche,  Marginal Extended Perturbations in Two Dimensions and Gap-Exponent  Relations
1993, A26,  J.Phys., Ellinas,  Path Integrals for Quantum Algebras and the Classical Limit
